token	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017
prostrate																					1.0																																					
prostration																							1.0																																			
protect				1.0				2.0	1.0	1.0			1.0	2.0	2.0	2.0		3.0	2.0		2.0		2.0	1.0	1.0		1.0	1.0	1.0		1.0				1.0	1.0	1.0	1.0	1.0								1.0			2.0	1.0			1.0	1.0	1.0	1.0	1.0
protected			1.0					1.0	2.0		1.0		1.0	1.0	5.0										1.0						2.0			1.0	1.0															1.0								5.0
protecting													1.0		3.0	1.0											1.0		1.0												1.0					1.0										1.0		
protection				1.0	1.0		1.0	2.0	3.0	1.0			1.0	1.0	12.0	1.0	3.0	3.0	1.0				1.0	5.0	2.0	1.0	2.0	2.0	1.0		7.0				1.0	2.0	1.0																		1.0			1.0
protective																										3.0		1.0			1.0				1.0																							
protector			1.0											1.0	1.0											1.0																																
protects								1.0							1.0																																						1.0					
protest																										1.0					1.0																											
proud						1.0	1.0	1.0						1.0			1.0															1.0												1.0	1.0	2.0	4.0	1.0			1.0							1.0
proudly																																1.0										1.0						1.0			1.0							
prove					1.0									1.0														1.0		1.0			1.0	2.0								1.0	1.0															
proved							1.0			2.0			2.0		1.0		3.0	1.0					1.0								1.0			1.0			1.0		1.0		1.0																1.0	
proven																																		3.0								2.0						1.0										
proverbial														1.0																																												
proves				1.0														1.0																1.0																								
provide			1.0					2.0	2.0	2.0				1.0		1.0		2.0	1.0					1.0				2.0						1.0			1.0	1.0			2.0	1.0			1.0		1.0	1.0	2.0			1.0						
provided				1.0	2.0				1.0		1.0								2.0		1.0					4.0			2.0		2.0			1.0	2.0	1.0				1.0							1.0											
providence			2.0	1.0	1.0			1.0		1.0	1.0		2.0			1.0	4.0	2.0		1.0	1.0	1.0						1.0					1.0			1.0						1.0																
provident													1.0																																													
providential	2.0																						1.0																																			
provides																																																	1.0			1.0						
providing															1.0													1.0																														
province									1.0																						1.0		1.0																				1.0					
provincial														1.0																																												
provincials																																	1.0																									
provision	1.0								4.0	1.0			1.0	1.0					6.0				1.0			1.0		1.0			1.0					1.0	1.0																					
provisions						1.0				1.0			1.0	2.0			1.0		3.0									2.0			2.0																											
provoking							1.0																																																			
prowess																																		1.0																								
prudence			1.0								1.0					1.0															1.0		1.0	1.0																								
prudent														1.0							1.0						1.0																								1.0					1.0		
prudential																									1.0																																	
prudently																																			1.0																							
public	6.0		6.0	4.0	14.0	6.0	2.0	8.0	5.0	9.0	8.0	3.0	4.0	11.0	8.0	3.0	6.0	9.0	2.0	2.0	5.0	1.0	11.0	2.0	11.0	17.0	8.0	13.0	6.0		1.0			2.0	5.0	12.0	4.0	2.0							1.0				1.0		1.0		1.0	4.0	2.0	1.0		1.0
publications					1.0																																																					
publicly							1.0																																																			
published														1.0					1.0																																							
punish							1.0																								1.0																											
punishment		1.0			1.0			1.0	2.0				1.0	1.0			1.0										1.0														1.0																	
punishments					1.0																																																					
punitive																																																	1.0									
purchase									1.0								1.0	1.0																			1.0																					
purchased																	1.0	1.0																																								
purchasing																								1.0			1.0																															
pure	1.0									2.0														1.0		2.0						2.0																										
purely														2.0											1.0									1.0													1.0											
purged																																	1.0																									
purification																											1.0																															
purified													1.0											1.0									1.0																									
purify																																1.0																										
purity			2.0		1.0					1.0						2.0		1.0																																								
purloining																									1.0																																	
purports																																									1.0																	
purpose							1.0	2.0	2.0				1.0	1.0		1.0	1.0	1.0	5.0				4.0	1.0		2.0	1.0	4.0	4.0	1.0	2.0	2.0	8.0	2.0	1.0	6.0		6.0	1.0	1.0	2.0	5.0	3.0		3.0	1.0	1.0			1.0	1.0			4.0		2.0	2.0	
purposeful																																																1.0										
purposes	1.0					1.0		3.0	6.0	4.0		1.0		4.0	2.0		1.0		1.0	1.0		1.0		1.0		2.0	3.0	1.0	2.0			1.0	1.0	1.0		3.0	1.0		1.0			1.0	2.0								1.0	1.0			1.0			
purse								1.0																																																		
pursuance																								1.0				1.0																														
pursue			1.0	1.0						1.0	1.0				1.0		1.0									1.0		1.0			1.0				1.0								1.0		1.0											1.0		1.0
pursued			1.0					1.0	2.0			2.0								1.0		1.0	2.0			1.0		2.0	1.0		1.0				1.0	1.0																						
pursuing									1.0													1.0									1.0															1.0												
pursuit	1.0																2.0												1.0		1.0			1.0				1.0			1.0											1.0					2.0	
pursuits				1.0	1.0								1.0		1.0							1.0				1.0																			1.0													
push																																												1.0							1.0							
pushes																																																		1.0								
pushing																															1.0																											
pusillanimous																															1.0																											
put								7.0						1.0									1.0			2.0		2.0			2.0	2.0			1.0		1.0		1.0											2.0	1.0	1.0	1.0					1.0
puts																															1.0																											
putting																															1.0			1.0			2.0												2.0		2.0					1.0		
quadrupled														1.0																																												
qualification					1.0									1.0																																												
qualifications	2.0										1.0																				3.0																											
qualified															1.0											1.0																																
qualities														1.0		1.0	1.0													1.0																										1.0	1.0	
quality															2.0																															1.0	1.0	1.0								1.0		
quarter				1.0				1.0	1.0					1.0			1.0													1.0											1.0										1.0							
quarters										1.0																																		1.0														
quayle																																																			1.0							
quest																																										2.0		1.0				1.0					2.0					
questing																																																				1.0						
question	1.0			1.0						1.0					1.0	1.0	2.0	11.0	1.0		3.0	3.0	5.0	3.0		1.0		5.0	1.0		4.0	3.0	1.0		1.0							2.0					1.0			2.0		1.0	1.0			3.0		
questioned						1.0									1.0		1.0		1.0																																				1.0			
questioning																																		1.0																								
questions								1.0	2.0	1.0			1.0	1.0	1.0		1.0	1.0	5.0		2.0	1.0	5.0	2.0			1.0		2.0		1.0			1.0	1.0	2.0												1.0	1.0						3.0			
quick																																	1.0																									
quicken																													1.0				1.0			1.0																						
quickly																															1.0						1.0		1.0																			
quiet																																														1.0		1.0	1.0					1.0	2.0	1.0	1.0	
quieter																																																			1.0							
quietly													1.0																																	1.0												
quite														1.0												2.0																																
quote																			1.0																																							
race	1.0																1.0	2.0					2.0	4.0		1.0	1.0			1.0	13.0				1.0	3.0					1.0	2.0				1.0		2.0		1.0		1.0	1.0	1.0		1.0		
races																							3.0	3.0		1.0					1.0									1.0																		
racial																																				1.0													1.0				1.0					
racing																																												1.0														
racism																																																							1.0			
radiance																	1.0																																									
radiant																	1.0																																									
radical																							1.0																																			1.0
radically														1.0																																												
rage						1.0																																																				
ragged																																														1.0												
raging																																																						1.0		1.0	1.0	
rail																															1.0																											
railroads																		1.0													6.0				1.0																						1.0	
rails																																											1.0															
railway																															2.0																											
railways																								1.0							2.0																											1.0
rainbow																																																	1.0									
raise												1.0						1.0										1.0									1.0				1.0								1.0	1.0					2.0	1.0		
raised								2.0	2.0					1.0								1.0							1.0									1.0												1.0		3.0						
raising															1.0													1.0							1.0											1.0												
rallied					1.0																																																					
rampart			1.0																																																							
rancor										1.0																																																
rang																																																							1.0			
range															1.0																																1.0											
ranges																										1.0																																
rank							1.0		1.0						1.0	1.0													1.0																													
ranks																																			1.0								1.0	1.0														
rapid							1.0	1.0					2.0	1.0								2.0				1.0					1.0														1.0													
rapidity																												1.0																														
rapidly				1.0														1.0						2.0		1.0					1.0																											
rare																	1.0																																					1.0				
rarely				1.0																			1.0																			1.0	1.0															
rash																	1.0																																									
rate																								1.0							1.0				1.0																							
rates																												1.0			2.0				1.0	1.0														2.0								
rather									2.0		1.0			2.0			1.0		2.0	2.0		2.0	1.0			2.0		2.0		1.0			1.0	1.0	1.0							1.0	1.0		1.0			1.0	1.0							3.0	1.0	1.0
ratification																					1.0							2.0																														
ratifications									1.0																				1.0																													
ratified									1.0																				1.0																													
ratify																	1.0																																									
rating																										1.0																																
rational			1.0														1.0																																									
raucous																																														1.0												
ravaged																																														1.0												
ravages																																																										1.0
raw								2.0																																										1.0						1.0		
rays																																														1.0												
re																												1.0																					9.0	3.0	2.0			1.0				
reach				2.0									2.0				1.0	3.0	2.0		1.0										1.0			1.0								2.0				4.0	2.0		1.0	1.0			2.0	1.0	1.0	1.0	1.0	
reached																							1.0				1.0				1.0	1.0			1.0	2.0		1.0							1.0					1.0	1.0		1.0					
reaches																																														2.0												
reaching					1.0												1.0												1.0						1.0											1.0	1.0			1.0						1.0		
reaction																																		1.0								1.0																
read			1.0																2.0	1.0																	1.0								1.0								2.0		1.0	1.0		
readily															1.0		2.0																																									
readiness																																											1.0															
readjustment																																		2.0	1.0		1.0																					
readjusts																																		1.0																								
ready				1.0								2.0	1.0		2.0		2.0									1.0			1.0				2.0	3.0			1.0				1.0	3.0	1.0			1.0			2.0		1.0				1.0	1.0		1.0
reaffirm																	1.0																																							1.0		
reaffirming																																																							1.0	1.0		
reagan																																																			1.0							
real									1.0		1.0		1.0						2.0							3.0		1.0				1.0			2.0	1.0			2.0						1.0	1.0							2.0		1.0	1.0	2.0	
realistically																																					1.0					1.0																
realities																																		1.0			1.0																				1.0	
reality							1.0																						1.0					2.0		1.0						1.0											1.0					1.0
realization																														1.0				3.0	1.0	3.0		1.0																				
realize												1.0		1.0			1.0								1.0		1.0	1.0			2.0		2.0		1.0	1.0	1.0	1.0			2.0								2.0									
realized									1.0				1.0	5.0			3.0						1.0					1.0									1.0									1.0												
realizes																																																									1.0	
realizing																																			1.0							1.0											1.0					
really														1.0					1.0												1.0														1.0				1.0									
reannexation															1.0																																											
reap																																																				1.0						
reaped																																																										1.0
reappear																																						1.0																				
rear																															1.0																											
reared								1.0						1.0																		1.0		1.0																								
rearranged																																			1.0																							
reason				2.0	5.0	1.0			3.0				2.0		3.0				1.0			1.0				4.0		1.0		2.0	2.0			1.0	5.0	1.0			1.0		1.0				1.0													
reasonable				1.0		1.0	1.0		2.0						2.0		3.0	1.0	2.0						1.0			1.0			1.0				1.0																							1.0
reasonably																				1.0						1.0		1.0																														
reasoned																		1.0																																							1.0	
reasoning					1.0																																																					
reasons													1.0	1.0	1.0																3.0				1.0			1.0																				
reasserted																																			1.0																							
reassurance																																		1.0																								
reassuring																																		1.0																								
reawaken																																																	1.0									
rebellion																					1.0								1.0																													
reborn																																																		1.0	1.0	1.0						
rebuild																																																										1.0
rebuilding																																														1.0				1.0								1.0
rebuilds																																																				1.0						
rebuilt																					1.0																																					
recall																										1.0													1.0									1.0							1.0	1.0	1.0	
recanted																			1.0																																							
receding																																		1.0																								
receipts																												2.0	1.0		1.0																											
receive										1.0			1.0	2.0		1.0					1.0	2.0			1.0			1.0			1.0			1.0				1.0			1.0		1.0															
received	1.0						2.0	1.0	2.0				1.0	1.0				1.0				1.0		1.0												1.0																						
receiving													1.0																														1.0															
recent									1.0	1.0	1.0		2.0				1.0	1.0					1.0			1.0		1.0	1.0		1.0					4.0			1.0				1.0				1.0	1.0										
recently																	1.0	1.0						1.0		1.0		1.0							2.0																							
reciprocal													1.0																1.0																													
reciprocated									1.0																																																	
reciprocity																	1.0											1.0																														
recital																													1.0																													
recited									1.0																																																1.0	
reckless													1.0	1.0													1.0		1.0																													
reckoning																																																		1.0								
reclaim																																																					1.0	1.0				
reclaiming																			1.0																																							
reclamation																															1.0																											
recognition																									1.0		2.0			1.0	2.0						2.0												1.0							1.0		
recognitions														1.0																																												
recognize													1.0	1.0			1.0		1.0										1.0					1.0			1.0	1.0					1.0				1.0					1.0					1.0	
recognized								1.0		1.0			1.0		1.0		1.0	1.0							1.0			2.0										1.0									1.0	1.0										
recognizes																							1.0											1.0																								
recognizing																							1.0								1.0											1.0																
recoil							1.0																																																			
recoiled							1.0																																																			
recollect									1.0																																																	
recollected									2.0																																																	
recollection			1.0																																																							
recommend	1.0											1.0		2.0	1.0	2.0					1.0	1.0	1.0								1.0			1.0			1.0																					
recommendation	1.0								1.0										1.0									1.0			2.0																											
recommendations	1.0		2.0											1.0								1.0							1.0		1.0					1.0																						
recommended			1.0					1.0	1.0	2.0				1.0																	1.0			1.0																								
recommending														1.0																																												
recommends																															1.0																											
recompensed								1.0																																																		
reconciled																																1.0																										
reconciliation																								1.0																																		
reconciling												1.0																																														
reconnecting																																																				1.0						
reconsecrate																																						1.0																				
reconsider																																1.0																										
reconsideration															1.0																																											
reconstruction																													1.0					1.0		1.0																						
record														1.0			2.0																1.0			2.0											2.0						1.0					
recorded																																		1.0																								
records							1.0																																																			
recourse					1.0			1.0																																										1.0								
recover																										1.0																												1.0				
recovered																						1.0																																				
recovering																																			1.0																							
recovery																																				2.0	3.0				5.0																1.0	
recreation																																				1.0		1.0																				
recriminations																																																								1.0		
recruiting																																					1.0																					
rectification																											1.0																															
rectified																																1.0																										
rectify																																1.0																										
rectitude	1.0																																																									
recur									1.0	1.0																					1.0																											
recurred																	1.0																																									
recurrence									2.0						1.0																1.0																											
recurring																																										1.0																
red									1.0																																																	1.0
rededicate																																																				1.0						
redeem																																																					1.0					
redemption					2.0																			1.0		1.0	1.0	1.0			1.0																											
rediscover																																							1.0																			1.0
rediscovered																																						1.0																				
redistributed																																																										1.0
redistribution																																				1.0	1.0																					
redounds																															1.0																											
redress									1.0				2.0																																													
reduce										1.0																1.0	1.0				1.0			2.0		1.0										1.0	1.0			5.0				1.0			1.0	
reduced					1.0					1.0																			1.0								1.0										1.0		1.0	1.0								
reduces																															1.0																											
reducing						1.0			1.0																																1.0									1.0								
reduction																										1.0					1.0				2.0	1.0						1.0																
reductions																																																		1.0								
reelected																																																		1.0								
reelection									1.0									1.0					1.0																																			
reenforced																										1.0																																
reestablish																																				1.0																						
reestablished																																																		1.0								
reestablishment																						1.0																																				
refer	1.0													1.0										1.0			2.0				2.0																											
reference													1.0	2.0		1.0	1.0	1.0					1.0								2.0																											
referendum																																		1.0																								
referred														1.0					1.0				1.0																																			
referring													1.0																																													
refinements																																		1.0	1.0																							
reflect				1.0			2.0							1.0		1.0		1.0																2.0														1.0	1.0						1.0			
reflected			1.0																															2.0	1.0																							
reflecting			1.0		1.0																																									1.0			1.0									
reflection			2.0			1.0		1.0					1.0						1.0		1.0																																					
reflections	1.0																																																									
reflects								1.0																										2.0																	1.0							
reflex																																		1.0																								
reform											1.0				2.0								5.0		2.0	3.0	2.0								2.0	1.0																1.0		1.0	1.0	1.0	1.0	
reformation				1.0	1.0																	2.0																																				
reformations																																		1.0																								
reformed											1.0																																										1.0					
reformers																																																							1.0			
reforming					1.0																																																		1.0			
reforms																												1.0			6.0		1.0																				1.0	1.0				
refrain													1.0																	1.0																												
refresh																																				1.0																						
refreshed																																1.0																			2.0							
refuge																																				1.0																						
refunding																								1.0																																		
refusal																		1.0									1.0																															
refuse															1.0				1.0																																							
refused							1.0																															1.0																		1.0		
refuses																			1.0																																							
refusing														1.0																						1.0																						1.0
regain				1.0																																																						
regaining							1.0																																														1.0					
regard	1.0		2.0				1.0	1.0	2.0	1.0	2.0		2.0	2.0	4.0		4.0	3.0		1.0	2.0		6.0		2.0	1.0	2.0		1.0		3.0							1.0				1.0														1.0		
regarded					1.0												3.0		1.0				2.0																																			
regarding									1.0				2.0																																													
regardless																	1.0																									1.0																
regards														2.0																3.0																												
regime																																									2.0																	
regimes																																																							1.0			
region													1.0																														1.0					1.0										
regional																																										1.0																
regions					1.0					2.0					1.0																																						1.0		1.0			
registered																			1.0					1.0					1.0								1.0																					
regret														1.0	1.0		1.0																	2.0																								
regretted					1.0																																																					
regular			1.0						1.0	1.0			1.0															1.0	2.0		1.0																											
regularity																																				1.0																						
regularly								1.0																																																		
regulars				1.0																																																						
regulate				1.0												1.0		1.0				1.0														1.0																						
regulated			1.0					2.0			1.0				1.0									1.0																																		
regulates						1.0																																																				
regulating									1.0													1.0																																				
regulation									1.0										1.0												3.0					4.0																						
regulations			1.0								1.0																																															
rehabilitated																						1.0																																				
rehabilitation																																			1.0																							
rehnquist																																																						1.0				
reign														1.0															1.0						2.0	1.0																			1.0			
reinforce																																																										1.0
reins																										1.0																																
reinstate																											1.0																															
reinvent																																																				1.0						
reinvention																																																									1.0	
reiterate															1.0				1.0												1.0																											
reject														1.0			1.0		1.0										1.0										1.0			1.0			1.0			1.0								1.0	1.0	
rejected																	1.0					1.0				1.0									2.0		1.0																					
rejecting																			1.0						1.0																																	
rejection			1.0																																																							
rejects																			1.0																																							
rejoice															1.0											1.0		2.0						1.0																		1.0						
rejoices																											1.0																															
rejoicing																							1.0											1.0										1.0	1.0													
rekindle																																													1.0													
rekindling																																																1.0										
relate													1.0	1.0																																												
related																											2.0														2.0																	
relates								1.0	1.0																																																	
relation										1.0			1.0	6.0										1.0	2.0				1.0							3.0																						
relations			1.0		1.0			1.0	4.0	3.0	1.0		1.0	3.0	1.0	2.0	2.0					2.0	2.0	1.0		1.0	1.0	3.0	3.0	3.0				1.0	4.0	1.0	2.0				1.0								1.0						1.0			
relationship																																		5.0	1.0																1.0							
relationships																																		2.0				1.0									1.0											
relative													1.0											1.0				1.0																											1.0	1.0		
relaxation								1.0																																																		
relaxed																										1.0																																
relearned																																						1.0																				
released																						1.0																																				
reliable																										1.0																																
reliance				1.0			2.0		1.0		1.0		1.0		1.0				1.0								1.0	2.0		1.0				1.0																								
reliant																																		1.0																								
relied														1.0																											1.0																	
relief									1.0	1.0				1.0			1.0	1.0								1.0		3.0			1.0				3.0	1.0	1.0				1.0																	
relies																																																							2.0	1.0		
relieve				1.0					1.0																2.0		1.0	2.0						2.0							1.0																	
religion			2.0	2.0	1.0	1.0								2.0		1.0	1.0						1.0	1.0		1.0					1.0				1.0						1.0							1.0										
religious				2.0	3.0					2.0			1.0	4.0	2.0			3.0			2.0			2.0				1.0						1.0	3.0	1.0																	2.0					
religiously															1.0																																											
relinquished																																																									1.0	
reluctance							1.0										1.0																																1.0									
reluctant																																																			1.0							
reluctantly													1.0																																				1.0									
rely				1.0									1.0											1.0		1.0		1.0							2.0																				1.0			
relying			1.0	1.0				1.0	1.0						1.0													1.0							1.0																							
remain	1.0		1.0		1.0				2.0				3.0		1.0	1.0		1.0	1.0				1.0			2.0		1.0	2.0				2.0									1.0		1.0			2.0			2.0						2.0	1.0	
remainder																		1.0																																								
remained			1.0						2.0														1.0																																	1.0		
remaining					1.0							1.0		2.0																							1.0									1.0												
remains					1.0					1.0			2.0		3.0			1.0											1.0	1.0	1.0								1.0							1.0				1.0	1.0		1.0	1.0		1.0		
remake																																																									1.0	
remaking																																																				1.0				1.0		
remark														4.0																																												
remarkable																								1.0																							1.0			1.0			1.0					
remarkably													1.0																																													
remarked									1.0																																																	
remarks														1.0				1.0					1.0																																			
remedial																											1.0																															
remedied									1.0														1.0								1.0																											
remedies				1.0										1.0			1.0									1.0					1.0			1.0	1.0	1.0																						
remediless																								1.0																																		
remedy								2.0						1.0				1.0						2.0		1.0		2.0			2.0				2.0	1.0																						
remember															2.0		1.0							1.0			1.0	1.0							1.0					2.0		1.0		1.0	1.0		1.0			2.0	3.0		1.0		1.0	2.0	1.0	1.0
remembered																	2.0															2.0															1.0	2.0			1.0							1.0
remembering						1.0							1.0								1.0			1.0			1.0																	1.0														
remembrance	1.0													1.0																																										1.0		
remind				1.0																						1.0	1.0																															
reminded																							1.0																										2.0							1.0		
reminds																																													1.0													
remnant										1.0																																																
remote			1.0											1.0				1.0																																								
remotely									1.0																																																	
remotest													1.0																																													
removable														1.0																																												
removal														3.0		1.0													1.0																													
removals																								1.0		1.0																																
remove			1.0											1.0					1.0	1.0							1.0				1.0					1.0						1.0																
removed										1.0			2.0	1.0									1.0												1.0							1.0																
removing																								1.0											1.0														1.0									
remunerating															1.0																																											
remuneration																						1.0																																				
rend																				1.0																																						
render							2.0	1.0			1.0						1.0					1.0									1.0																			1.0								
rendered	2.0					2.0				1.0				1.0																				1.0																								
rendering								1.0																																																		
renders					1.0																																																					
renew																1.0								1.0	1.0									1.0										1.0			2.0		3.0	1.0		3.0	1.0	1.0			1.0	
renewal																																1.0										1.0		1.0					1.0			4.0						
renewed							1.0					1.0							1.0										1.0					1.0	1.0	1.0			1.0			1.0						1.0			1.0	1.0			1.0			
renewing														2.0																		1.0																										
renounce	1.0																																																									
renounced																										1.0																																
renown													1.0																																													
renunciation																																				1.0																						
reopen																																													1.0													
reorganization																															1.0					3.0																						
reorganize																																					1.0																					
repair				1.0		1.0			1.0								1.0																																									
repaired	1.0																																																									
repairers																																																					1.0					
reparation			1.0																																																							
repartition					1.0																																																					
repay																															1.0																											
repeal									1.0												1.0													1.0		1.0																						
repealed									1.0	1.0																					2.0																											
repeat														1.0									3.0					1.0						1.0											1.0					1.0								
repeated							1.0			1.0				1.0																								1.0													1.0							
repeatedly			1.0																																																							
repeating							1.0																																																			
repel									1.0									2.0																																								
repelled																			1.0																																							
repelling																									1.0																																	
replace					1.0																1.0														1.0																		1.0	1.0			1.0	
replaced																																												1.0														
replete																	1.0																																									
reply													1.0																																													
report									1.0																			1.0			2.0																											
reports																													1.0		3.0																											
repose						1.0							1.0				1.0							2.0																															1.0			
reposed		1.0		1.0											1.0												1.0										1.0																					
reposes																	1.0																																									
represent																											1.0								2.0																						1.0	
representation													1.0																						1.0																							
representations																										1.0																																
representative				1.0					1.0	1.0				1.0																				4.0	2.0															1.0								
representatives	2.0		2.0					1.0		1.0		1.0	1.0	4.0								1.0	1.0			1.0		1.0	1.0			1.0			1.0																							
represented			1.0						1.0																																																	
representing						1.0																1.0																																				
represents																																			4.0																							
repressed																									1.0																																	
repression																																																							1.0			
reproach																								1.0																																		
republic						1.0	1.0					2.0	4.0	5.0	2.0	2.0	5.0	1.0				2.0		4.0	3.0	1.0		2.0	4.0	4.0	1.0			10.0	3.0	1.0		4.0	2.0										1.0	1.0							1.0	
republican	1.0		1.0	3.0		1.0		1.0		2.0				3.0	2.0	1.0			1.0						1.0		1.0				1.0					1.0			1.0																			
republicanism																						1.0																																				
republicans				1.0										2.0									1.0																											1.0								
republics				1.0		1.0			1.0	1.0			1.0	3.0				1.0																1.0		1.0								1.0														
repudiation																																		1.0																								
repudiator																					1.0																																					
repugnant														2.0											1.0											1.0																						
reputation				1.0			1.0																1.0																																			
request																																				1.0								1.0														
require	1.0							2.0	4.0		1.0			2.0	1.0		3.0	1.0	1.0					1.0		1.0	1.0		1.0		2.0			2.0	2.0		2.0	1.0										1.0	2.0			1.0			1.0		3.0	
required	1.0						1.0			1.0					3.0			4.0			1.0	1.0	1.0	1.0					1.0		1.0				2.0							1.0		1.0	1.0		1.0		1.0							1.0		
requirement																										1.0					1.0																								1.0			
requirements																	1.0														1.0				2.0																							
requires		1.0			1.0						1.0			1.0							2.0				1.0						2.0				1.0			1.0			1.0				1.0		1.0							1.0			5.0	
requiring														1.0																																												
requisite						1.0		2.0	1.0			1.0	1.0						1.0																																							
requisites																													1.0													1.0																
rescind																			1.0																																							
research																							1.0																											1.0							1.0	
researches										1.0																																																
resemble														1.0																																												
resentment																																																							2.0			
resentments																	1.0																																									
reservation																					1.0																																					
reservations																			1.0								1.0									2.0																						
reserve																		1.0										2.0																														
reserved					3.0	1.0					1.0			5.0	4.0								1.0	1.0	1.0			1.0																					1.0								1.0	
reservoir																																																	1.0									
resheathed							1.0																																																			
residence			1.0																																																							
resident																		1.0	1.0																																							
residents																		1.0																																								
residing																										2.0																																
residue														1.0																																												
resigned																			1.0																																							
resilience																																																									1.0	
resist			1.0										2.0		1.0																2.0			1.0							1.0						1.0										1.0	
resistance																	1.0																																									
resisted								1.0																1.0																																		
resolutely																								1.0				1.0									1.0																					
resolution	1.0		3.0																1.0						1.0			1.0	1.0					1.0																								
resolve					1.0																												1.0	1.0						1.0	2.0		1.0				3.0		1.0	2.0		3.0		1.0	1.0		2.0	
resolved									1.0							1.0			1.0			1.0		1.0																													1.0				1.0	
resolves																			1.0																																							
resort							1.0		1.0	2.0						1.0		1.0													1.0			1.0																								
resorted									3.0				1.0																								1.0													1.0								
resorting	1.0																											1.0																														
resounding																																																					1.0					
resource						1.0		1.0	1.0														1.0					1.0														1.0									1.0							
resources			1.0	1.0	1.0	2.0	2.0	3.0	3.0	1.0			4.0	1.0	1.0		1.0								1.0	1.0	1.0				2.0	1.0		2.0	6.0	1.0	1.0	1.0	1.0		6.0	1.0	1.0		2.0							1.0				1.0		
respect	1.0		1.0			2.0	1.0	2.0	1.0	3.0	1.0		2.0		2.0	1.0	3.0		1.0		2.0		5.0			7.0					9.0					4.0							1.0				5.0	3.0						1.0		1.0		
respectable			1.0				1.0																								2.0																											
respected														1.0	1.0		1.0											1.0							1.0	1.0							1.0															
respectful			1.0							1.0																																																
respectfully																												1.0																														
respecting									5.0															2.0				1.0			1.0										1.0	1.0	1.0															
respective								1.0	1.0	2.0	1.0			6.0	1.0		1.0	1.0	1.0				1.0					1.0																														
respectively								1.0						2.0	1.0																																											
respects								1.0						3.0									1.0									1.0				1.0	4.0										1.0											
respite																						1.0																																				
respond																																			2.0																			1.0			1.0	
responded																																			1.0																							
response																																			1.0																				1.0			
responses																																																									1.0	
responsibilities															2.0	1.0	1.0				1.0	1.0		1.0	1.0		2.0	2.0	1.0	1.0						3.0					1.0						5.0			2.0		1.0		1.0				
responsibility						1.0	1.0	2.0				1.0		1.0	1.0		2.0							1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0		1.0	5.0	3.0	6.0					1.0	3.0		1.0			11.0	1.0		1.0		3.0	4.0	3.0		1.0	1.0	
responsible								1.0	1.0				1.0		2.0			1.0						2.0				1.0	1.0		4.0		1.0		2.0								1.0										1.0	1.0				
responsibly																																															1.0									1.0	1.0	
rest												3.0	1.0	2.0			3.0	2.0					1.0	1.0					2.0				1.0										1.0	1.0	2.0		1.0			1.0							1.0	
restated																																																		1.0								
restaurant																																																								1.0		
rested																																							1.0																			
resting																						1.0	1.0			1.0			2.0																1.0													
restless																																																				1.0						
restlessness																											1.0																															
restoration															1.0				1.0			2.0						3.0				1.0		3.0			2.0																					
restore				1.0										2.0				1.0				1.0						1.0	1.0			2.0					2.0				1.0		1.0				1.0									2.0		1.0
restored																					1.0	1.0		1.0				1.0	1.0								1.0	1.0												1.0								
restores														1.0																																												
restoring																							1.0								1.0																		1.0	1.0								
restrain				1.0	1.0										1.0																																											
restrained					1.0			1.0																			1.0																															
restraining																															2.0																											
restrains																										1.0																																
restraint					1.0		1.0												1.0												1.0					1.0																				1.0		
restraints									1.0			1.0	1.0														1.0									1.0																						
restrict																				1.0																																						
restricted														1.0																																												
restricting																																1.0																										
restriction																			1.0												1.0																											
restrictions																															2.0																											
restrictive																																			1.0																							
restricts																																1.0																										
rests														1.0			1.0						2.0				1.0	1.0	2.0					1.0	1.0	3.0		1.0				1.0	1.0		1.0				1.0									
