token	df
latent	2
later	5
latest	1
lathes	1
latitude	1
latter	7
latterly	1
laugh	1
laughter	2
launched	3
law	39
lawful	6
lawfully	2
lawgiver	1
lawgivers	1
lawless	2
lawlessness	2
laws	32
lawyer	1
lay	8
laying	1
lead	24
leader	3
leaders	9
leadership	9
leading	12
leads	7
league	2
learn	11
learned	9
learning	3
learns	1
learnt	1
least	12
leave	20
leaves	5
leaving	5
led	15
ledgers	1
left	16
legacies	1
legacy	2
legal	10
legalized	1
legally	2
legend	1
legible	1
legions	3
legislate	1
legislated	2
legislation	16
legislative	12
legislators	1
legislature	6
legislatures	2
legitimate	12
legitimately	2
leisure	1
lend	4
lending	1
length	7
lengthens	2
lenient	1
less	42
lessen	3
lessened	1
lessening	1
lesser	1
lesson	8
lessons	8
lest	4
let	38
letter	3
letters	2
levees	1
level	3
leveled	1
levels	3
levers	1
levied	2
levy	1
levying	1
liabilities	1
liability	2
liable	2
liberal	11
liberality	4
liberally	2
liberate	4
liberated	3
liberating	1
liberation	2
liberator	2
liberties	9
liberty	42
library	1
licentiousness	1
lie	4
lies	13
lieu	1
life	48
lifeblood	1
lifeless	1
lifetime	6
lifeùa	1
lift	9
lifted	3
lifting	1
light	18
lighted	3
lighten	3
lightened	1
lightening	1
lightly	1
lightness	1
lightning	2
lights	5
like	28
likely	6
likeness	1
likes	1
likewise	3
limb	1
limbs	1
limit	6
limitation	8
limitations	12
limited	16
limiting	2
limitless	4
limits	17
lincoln	4
line	8
lines	13
link	1
linked	2
liquor	1
list	2
listen	4
listening	1
lit	2
literary	1
literature	2
litigation	1
little	24
livable	1
live	29
lived	4
livelihood	3
lives	27
living	15
ll	3
loans	2
loath	1
local	23
locality	1
localized	1
locate	1
located	2
lock	1
locked	2
locks	1
locusts	1
lodging	1
loftiest	1
lofty	2
logic	2
logically	1
lone	1
lonely	1
long	45
longed	1
longer	19
longest	2
longing	2
longings	1
look	24
looked	6
looking	10
looks	4
loose	1
lopped	1
lord	6
lose	8
loses	2
losing	1
loss	10
losses	2
lost	12
lot	9
louder	1
loudly	1
louisiana	4
love	29
loved	2
loveliness	1
lover	3
loves	1
loving	5
low	4
lower	5
lowest	2
loyal	5
loyally	2
loyalty	6
lucky	1
lunar	1
lure	1
lures	1
luring	1
lurk	2
lurking	1
lurks	1
luster	1
luther	1
luxuries	3
lying	2
lynchings	1
m	1
machine	1
machinery	3
macleish	1
mad	1
made	43
madison	1
madness	1
magic	1
magical	1
magistrate	8
magistrates	1
magna	1
magnanimity	2
magnanimous	2
magnificence	1
magnificent	5
magnificently	1
magnify	2
magnifying	1
magnitude	7
mail	1
mailing	1
mails	1
maimed	2
main	1
mainland	1
mainly	1
maintain	30
maintained	14
maintaining	10
maintains	2
maintenance	13
majestic	3
majesty	5
major	2
majorities	2
majority	12
make	45
maker	2
makers	1
makes	14
maketh	1
makeup	1
making	21
malaya	1
malice	1
malign	1
mall	4
man	35
manage	7
managed	2
management	5
mandate	5
mandates	2
maneuver	1
manfully	1
manger	1
manhood	3
manifest	7
manifestation	4
manifestations	2
manifested	2
manifesting	1
manifestly	2
manifests	1
manifold	2
mankind	24
manlier	1
manliness	1
manly	3
manner	13
manners	1
manufactured	2
manufacturer	1
manufacturers	5
manufactures	11
manufacturing	5
many	43
maps	2
marble	1
march	8
marched	6
margin	1
marginalized	1
marine	2
mariners	2
maritime	1
mark	6
marked	8
marker	1
markers	1
market	9
markets	10
marks	7
marred	1
mars	1
marshaled	1
marshals	1
martin	2
marts	2
marvelous	4
mass	9
massachusetts	1
massacre	1
massed	1
masses	4
massive	2
master	7
mastered	1
masters	5
mastery	1
match	4
matches	1
matchless	2
material	17
materially	1
materials	6
math	1
mathias	1
matter	10
matters	18
mature	1
matured	3
maturing	1
maturity	1
maxim	3
maxims	2
maximum	2
may	53
mayflower	1
me	45
meager	3
mean	9
meaning	11
meaningful	1
means	34
meant	5
meantime	5
measurable	1
measure	21
measured	3
measureless	1
measures	17
mechanic	2
mechanical	1
mechanism	2
meddle	1
mediation	1
medicaid	1
medicare	2
medicine	1
mediocrity	1
mediterranean	1
medium	2
meet	31
meeting	6
meetings	1
meets	1
melancholy	2
meliorate	1
member	10
members	18
membership	1
memorable	1
memorial	1
memories	4
memory	5
men	47
menace	6
menaced	3
menaces	1
menacing	3
mental	4
mention	2
mentioned	1
mentor	1
mercantile	2
merchandise	1
merchant	2
mercifully	1
mercy	6
mere	13
merely	17
merge	1
merged	1
merit	6
merited	1
meritorious	1
meritoriously	1
merits	1
message	3
messages	1
met	10
metal	1
metallic	1
metals	4
method	7
methods	11
metropolis	1
mexico	2
micah	1
michel	1
michelle	1
microchip	1
middle	8
midst	6
midway	1
might	30
mightiest	1
mighty	11
mild	3
miles	1
milestone	1
militarists	1
militarize	1
military	19
militia	8
militias	1
mill	1
millennium	3
million	3
millions	15
mills	1
mind	25
minded	4
mindedness	1
mindful	7
mindfulness	1
minds	12
mindùa	1
mine	10
mineral	1
mines	2
mingled	1
mingling	1
minimize	2
minimum	2
mining	2
minister	3
ministered	1
ministers	1
minor	3
minorities	6
minority	4
minute	1
miracle	2
miracles	2
misappropriation	1
mischief	4
mischiefs	1
mischievous	1
misconceptions	1
misconstruction	2
misconstrue	1
misconstrued	1
misdirect	1
miseries	2
misery	5
misfortune	1
misguided	1
misinterpret	1
misinterpreted	1
misjudged	1
mislead	1
misled	1
misrepresentation	2
miss	1
missiles	2
missing	1
mission	8
missions	1
mississippi	5
missouri	1
mistake	5
mistaken	4
mistakes	3
mistrust	4
mists	1
misunderstand	1
misunderstanding	4
misunderstood	1
mitchell	1
mitigate	3
mitigated	1
mixed	1
mob	1
mobile	1
mobs	2
mockery	4
mode	6
model	4
models	1
moderate	5
moderation	3
modern	14
modes	4
modification	3
modified	2
modify	1
molest	1
moment	22
momentous	5
moments	3
momentum	1
monarchical	1
monarchies	2
monarchy	1
mondale	1
monday	1
monetary	3
money	15
moneys	2
monopolies	2
monopoly	1
monroe	3
montana	1
month	2
monthly	1
months	6
monticello	1
monument	1
monumental	1
monuments	2
moomaw	1
moon	2
moral	25
morality	5
morally	1
morals	4
morbid	1
more	52
moreover	4
mormon	1
mortal	3
mortgaging	1
mortifications	1
moscow	1
mosque	1
most	48
mostly	1
mother	4
mothers	5
motion	2
motivated	1
motive	7
motives	9
motto	1
mount	1
mountain	2
mountaineer	1
mountains	6
mountaintop	1
mouth	1
move	13
moved	8
movement	6
movements	4
moves	3
moving	7
mr	12
mrs	1
much	40
multiplication	1
multiplied	4
multiply	1
multiplying	2
multitude	2
multitudes	2
municipal	4
munitions	2
murder	1
murmur	1
music	2
musket	1
muskets	1
muslim	1
muslims	1
must	51
muster	2
mustered	1
mutation	1
mutual	15
mutuality	1
mutually	3
my	56
myriad	1
myself	19
mysteries	1
mystery	1
mystic	1
mystical	2
nagging	1
naive	1
name	11
named	2
nameless	1
names	5
narrow	10
narrowed	2
narrowest	2
narrowing	1
narrowly	1
nation	53
national	45
nationalistic	1
nationality	4
nationhood	1
nations	51
native	9
natural	11
naturalization	3
naturalized	1
naturalizing	1
naturally	2
nature	22
naught	2
naval	8
navies	3
navigable	1
navigation	4
navy	13
near	6
nearest	1
nearing	1
nearly	13
nebraska	2
necessaries	4
necessarily	7
necessary	27
necessities	8
necessity	23
neck	1
need	37
needed	13
needful	2
needing	1
needless	1
needs	20
needy	1
negation	1
negations	1
negative	2
neglect	6
neglected	2
negligence	4
negotiate	3
negotiated	1
negotiation	7
negotiations	3
negro	2
negroes	2
neighbor	5
neighborhood	4
neighborhoods	1
neighboring	2
neighbors	14
neighborsùall	1
neill	2
neither	18
network	1
networks	1
neutral	3
neutrality	7
never	46
new	49
newly	1
news	1
newspaper	1
newtown	1
next	11
nigh	1
night	6
ninth	1
nixon	2
no	56
nobility	4
noble	10
nobleness	1
nobler	2
noblest	5
nominate	1
nominated	1
nomination	1
non	1
nonbelievers	1
none	20
noninterference	1
noninvolvement	1
nonpartisan	1
nor	39
normal	3
normalcy	2
normandy	1
north	12
northern	1
northerners	1
not	57
notably	1
note	3
noted	1
notes	1
noteworthy	1
nothing	25
notice	1
notification	1
noting	1
notwithstanding	2
nourish	1
nourished	1
nourishes	1
november	1
now	52
nowhere	4
nuclear	5
nucleus	2
nullify	1
number	17
numberless	1
numbers	10
numerous	3
nursery	1
nurture	2
o	3
oar	1
oath	33
oaths	2
obama	1
obedience	10
obedient	1
obey	3
obeyed	2
obeying	2
object	16
objection	3
objections	5
objective	3
objectives	1
objects	18
obligation	19
obligations	21
obliged	2
obliges	1
obliging	1
obliteration	1
obnoxious	2
obscure	4
obscured	2
observable	1
observance	7
observation	4
observations	3
observe	10
observed	7
observer	1
observers	1
observing	3
obsessions	1
obsolete	1
obstacle	1
obstacles	4
obstructed	1
obstruction	1
obstructionists	1
obstructions	1
obtain	4
obtained	3
obtaining	1
obtruding	1
obtrusive	1
obvious	10
obviously	1
occasion	26
occasional	3
occasionally	2
occasions	4
occupancy	1
occupants	1
occupation	2
occupations	3
occupied	1
occupy	4
occupying	2
occur	5
occurred	6
occurrence	1
occurrences	2
ocean	12
oceans	3
octavius	1
october	1
odd	1
odds	1
of	58
off	13
offenders	1
offends	1
offense	2
offenses	1
offensive	3
offer	16
offered	4
offering	2
offers	3
office	37
officer	6
officered	1
officers	12
offices	9
official	12
officially	1
officials	2
offspring	2
often	21
oftener	1
ohio	1
old	32
older	4
oldest	2
omaha	1
omen	1
omission	1
omit	1
omitting	1
omnipotence	1
on	56
once	22
one	48
onerous	1
ones	9
only	51
onto	2
onward	7
open	16
opened	6
opening	8
openly	4
openness	2
opens	1
operate	3
operated	1
operating	1
operation	13
operations	2
operatives	1
opinion	22
opinions	13
opponent	1
opponents	1
opportunism	1
opportunities	11
opportunity	25
oppose	5
opposed	11
opposing	4
opposite	1
opposition	9
oppress	3
oppressed	4
oppressing	1
oppression	6
oppressive	2
oppressors	2
opprobrium	1
optimist	1
options	1
or	56
oracle	1
orators	1
orbits	1
ordain	1
ordained	3
ordaining	1
ordeal	1
order	28
ordered	5
orderly	7
orders	1
ordinances	1
ordinary	9
oregon	1
ores	1
organic	3
organization	12
organizations	1
organized	8
organizers	1
orient	1
origin	4
original	10
originate	3
originated	2
originating	1
origination	1
origins	2
orleans	1
ornament	2
orphan	1
orphans	2
ostriches	1
other	53
others	36
otherwise	8
ought	21
our	57
ours	14
oursearch	1
ourselves	35
out	42
outbursts	1
outcome	1
outgo	1
outgoing	1
outgrow	1
outgrown	1
outgrowth	1
outlast	1
outlaw	1
outlawing	1
outlawry	1
outlaws	1
outlays	1
outlet	1
outline	4
outlines	3
outpaced	1
output	1
outrage	2
outrages	2
outrun	1
outrunning	1
outset	5
outside	3
outstanding	1
outward	1
outweigh	1
outworn	2
over	40
overbalance	1
overbalanced	1
overburdened	1
overcome	4
overestimate	1
overestimated	1
overflowing	1
overleaps	1
overlooked	2
overlooking	1
overlooks	1
overrule	1
overruled	1
overruling	4
overseas	1
overset	1
overshadowed	1
overstep	1
overtake	1
overtaxed	1
overthrow	5
overthrown	1
overturning	1
overwhelm	2
overwhelmed	2
overwhelming	5
overwhelmingly	2
owe	4
owes	2
owing	1
own	53
owners	1
ownership	3
owning	1
pace	3
paces	1
pacific	9
pacification	2
pacifists	1
pack	1
packed	1
pact	1
paddies	1
page	3
pages	1
paid	10
pain	5
painful	2
paint	2
pall	1
palladium	1
palliated	1
palliation	1
panama	1
panic	1
panoply	1
paper	4
par	2
paradox	1
parallel	6
paralysis	1
paralyzes	1
paramount	4
paraphrase	1
parcel	1
parchment	1
pardoned	2
pardoning	1
parent	5
parental	1
parents	3
paris	2
parity	1
parliament	1
part	37
partake	2
partaking	1
parted	1
partial	8
partialities	1
partiality	3
partially	1
participants	1
participate	3
participating	2
participation	8
particular	10
particularity	1
particularly	4
particulars	1
parties	18
partisan	7
partisans	1
partisanship	5
partition	1
partners	1
parts	16
party	30
pass	13
passage	4
passed	19
passengers	1
passes	1
passing	7
passion	14
passionately	1
passions	6
past	31
pastor	1
pat	1
patchwork	2
patent	1
paternalism	3
path	16
paths	4
pathway	2
patience	4
patient	6
patiently	2
patriot	5
patriotic	16
patriotically	2
patriotism	22
patriots	6
patrol	2
patron	2
patronage	5
patronize	2
patronized	1
patronizes	1
pattern	2
pause	3
pave	1
paved	1
pay	16
payable	1
paying	3
payment	4
payments	3
pays	2
peabody	1
peace	46
peaceable	1
peaceably	3
peaceful	19
peacefully	2
peacemaker	1
peaks	2
peasantry	1
peculation	1
peculiar	14
peculiarly	4
pecuniary	5
peking	1
penalizes	1
penalties	5
pending	3
penetrating	1
pennsylvania	1
penny	1
pension	2
pensioners	1
penury	1
people	56
peoples	14
peopleùa	1
peopleùwho	1
perceive	1
perceived	1
perceiving	2
percentage	2
perception	1
perfect	15
perfected	3
perfecting	2
perfection	6
perfectly	6
perform	14
performance	10
performed	5
performing	4
performs	1
perfunctory	1
perhaps	17
peril	5
perilous	2
perils	9
period	21
periodically	2
periods	4
perish	3
perished	1
permanence	2
permanency	1
permanent	21
permanently	3
permeated	1
permit	12
permitted	8
permitting	5
pernicious	2
perpetual	6
perpetuate	7
perpetuating	2
perpetuation	1
perpetuity	3
perplexed	1
perplexities	1
persecute	1
persecutions	1
perseverance	1
persevere	1
persevered	1
persevering	2
persian	1
persisted	1
persistence	1
persistent	3
persistently	2
person	16
personal	21
personally	1
persons	10
perspective	2
persuaded	2
persuading	1
persuasion	2
pertain	1
pervades	1
pervading	1
perversions	1
pervert	1
perverts	1
pestilence	1
petitions	1
petty	4
phase	2
phases	1
philadelphia	1
philanthropist	1
philippine	1
philippines	2
philosophies	1
philosophy	2
phrases	3
physical	7
physically	1
physicists	1
pick	2
picture	2
pictures	1
pieces	1
piercing	1
piety	1
pile	1
piled	2
pilgrimage	1
pillars	2
pioneer	1
pioneers	1
pious	1
piracy	1
piratical	1
pitching	1
pitiable	1
pitiful	1
pitilessly	1
pitted	1
pity	3
placate	1
place	41
placed	18
places	15
placing	2
plague	2
plagues	1
plain	8
plainer	1
plainest	1
plainly	5
plains	3
plan	10
planet	6
planned	1
planning	1
plans	11
plant	2
plantation	1
planted	3
planter	2
planting	1
platform	5
platforms	1
plausibly	1
play	10
plays	1
plead	1
pleading	2
pleasant	2
pleasantness	1
please	1
pleased	4
pleasing	2
pleasure	5
pleasures	1
pledge	22
pledged	12
pledges	6
pledging	1
plentiful	1
plenty	5
pliant	1
plight	1
plighted	1
plowed	1
plunge	1
plural	1
pockets	1
poet	1
poetry	1
point	17
pointed	1
points	8
poised	1
police	1
policies	9
policy	30
polite	1
politic	1
political	38
politically	1
politician	1
politicians	1
politics	9
polity	2
polls	1
polygamy	2
ponders	1
pool	2
poor	11
pope	1
populace	1
popular	15
populated	1
population	20
populous	2
porch	1
pork	1
portents	1
portion	19
portions	6
porto	1
portray	1
ports	4
posesses	1
position	16
positions	3
positive	4
positively	2
possess	10
possessed	6
possesses	2
possessing	3
possession	3
possessions	5
possibilities	5
possibility	6
possible	19
possibly	2
post	3
postal	1
posterity	8
postpone	1
postponed	3
postponement	2
postulations	1
postures	1
postwar	1
potent	5
potentates	1
potential	5
potomac	1
poured	2
poverty	14
power	47
powerful	20
powerless	1
powers	33
practicability	1
practicable	11
practical	17
practicality	1
practically	3
practice	14
practiced	4
practices	5
praises	1
pray	8
prayer	10
prayers	9
pre	1
preach	1
preacher	1
precarious	1
precaution	2
precautions	1
preceded	3
precedent	3
preceding	2
precept	3
precepts	1
precious	15
precipitate	1
precise	5
precisely	5
precision	3
precluded	1
preconceived	1
predecessor	10
predecessors	9
predicted	1
prediction	1
predictions	2
predilection	1
predominating	1
preeminence	1
preeminent	2
preeminently	3
prefer	5
preferable	2
preference	2
preferment	1
prefers	1
prejudice	13
prejudices	10
prelude	1
premeditation	1
premium	1
preoccupations	1
preparation	4
preparations	2
preparatory	1
prepare	3
prepared	9
preparing	4
prepossessions	1
preposterous	1
prerequisites	1
prerogative	2
presage	2
presaging	1
prescribe	4
prescribed	11
prescribes	3
prescribing	1
prescription	1
presence	20
present	35
presented	7
presentiments	1
presenting	2
presently	2
presents	4
preservation	17
preserve	26
preserved	16
preserves	1
preserving	9
preside	2
presidency	5
president	36
presidential	9
presidents	2
presides	2
presiding	2
press	10
presses	1
pressing	5
pressure	5
presume	2
presumed	2
presumption	2
presumptuous	1
pretend	1
pretense	4
pretension	1
pretensions	3
pretext	4
prevail	8
prevailed	4
prevailing	2
prevails	4
prevalence	1
prevent	13
prevented	5
preventing	2
prevention	1
prevents	1
previous	3
prey	2
preyed	1
preying	1
price	13
priceless	2
prices	6
pride	16
prideful	1
primarily	3
primary	4
prime	1
primitive	1
prince	1
princes	1
principal	6
principle	25
principles	35
prior	2
priorities	2
prison	2
prisoner	1
prisoners	2
prisons	1
pristine	1
private	20
privilege	11
privileged	3
privileges	11
prize	1
prized	1
probability	1
probable	3
probably	4
probing	1
problem	10
problems	17
procedure	3
proceed	10
proceeded	1
proceeding	6
proceedings	2
proceeds	1
process	8
processes	5
proclaim	8
proclaimed	5
proclaiming	2
proclaims	1
proclamation	1
procured	1
prodigal	1
prodigality	1
produce	18
produced	7
producer	1
producers	1
produces	1
producing	2
product	3
production	10
productions	6
productive	14
productiveness	1
productivity	2
products	12
profaned	1
profess	2
professed	2
professionals	1
professions	2
proficiency	1
profit	8
profitable	4
profitably	1
profits	2
profligacy	4
profound	12
profoundly	1
profuse	1
progeny	1
program	6
programs	5
progress	36
progressed	1
progressing	1
progression	1
progressive	4
prohibit	3
prohibited	3
prohibiting	2
prohibition	2
prohibitions	2
prohibitory	1
project	1
projects	3
proliferation	1
prolific	1
prolonged	1
prominent	5
prominently	1
promise	21
promised	3
promises	10
promising	2
promote	21
promoted	9
promoters	1
promotes	1
promoting	5
promotion	8
promotions	1
prompt	6
prompted	3
promptitude	2
promptly	6
promptness	2
promulgation	1
prone	1
pronounce	1
pronounced	1
proof	9
proofs	4
prop	2
propaganda	1
propagating	1
propagation	1
proper	26
properly	7
property	14
prophecy	1
prophet	2
prophets	2
propitiate	1
propitious	2
proportion	2
proportionate	1
proportions	1
proposal	1
proposals	2
propose	6
proposed	8
proposes	1
proposition	4
propositions	1
propriety	2
prosecuted	1
prosecution	2
prospect	9
prospective	1
prosper	6
prospered	3
prosperity	35
prosperous	14
prosperously	1
prospers	1
prostitutes	1
prostrate	1
prostration	1
protect	31
protected	13
protecting	8
protection	26
protective	4
protector	4
protects	3
protest	2
proud	13
proudly	4
prove	8
proved	13
proven	3
proverbial	1
proves	3
provide	20
provided	14
providence	17
provident	1
providential	2
provides	2
providing	2
province	4
provincial	1
provincials	1
provision	12
provisions	8
provoking	1
prowess	1
prudence	6
prudent	5
prudential	1
prudently	1
public	42
publications	1
publicly	1
published	2
punish	2
punishment	9
punishments	1
punitive	1
purchase	4
purchased	2
purchasing	2
pure	5
purely	4
purged	1
purification	1
purified	3
purify	1
purity	5
purloining	1
purports	1
purpose	36
purposeful	1
purposes	28
purse	1
pursuance	2
pursue	14
pursued	13
pursuing	4
pursuit	9
pursuits	7
push	2
pushes	1
pushing	1
pusillanimous	1
put	15
puts	1
putting	6
quadrupled	1
qualification	2
qualifications	3
qualified	2
qualities	6
quality	5
quarter	8
quarters	2
quayle	1
quest	4
questing	1
question	25
questioned	5
questioning	1
questions	22
quick	1
quicken	3
quickly	3
quiet	7
quieter	1
quietly	2
quite	2
quote	1
race	20
races	5
racial	3
racing	1
racism	1
radiance	1
radiant	1
radical	2
radically	1
rage	1
ragged	1
raging	3
rail	1
railroads	4
rails	1
railway	1
railways	3
rainbow	1
raise	9
raised	8
raising	4
rallied	1
rampart	1
rancor	1
rang	1
range	2
ranges	1
rank	5
ranks	3
rapid	8
rapidity	1
rapidly	5
rare	2
rarely	4
rash	1
rate	3
rates	5
rather	22
ratification	2
ratifications	2
ratified	2
ratify	1
rating	1
rational	2
raucous	1
ravaged	1
ravages	1
raw	3
rays	1
re	5
reach	18
reached	11
reaches	1
reaching	8
reaction	2
read	8
readily	2
readiness	1
readjustment	3
readjusts	1
ready	19
reaffirm	2
reaffirming	2
reagan	1
real	16
realistically	2
realities	3
reality	7
realization	5
realize	14
realized	8
realizes	1
realizing	3
really	5
reannexation	1
reap	1
reaped	1
reappear	1
rear	1
reared	4
rearranged	1
reason	18
reasonable	13
reasonably	3
reasoned	2
reasoning	1
reasons	6
reasserted	1
reassurance	1
reassuring	1
reawaken	1
rebellion	2
reborn	3
rebuild	1
rebuilding	3
rebuilds	1
rebuilt	1
recall	6
recanted	1
receding	1
receipts	3
receive	13
received	10
receiving	2
recent	16
recently	6
reciprocal	2
reciprocated	1
reciprocity	2
recital	1
recited	2
reckless	4
reckoning	1
reclaim	2
reclaiming	1
reclamation	1
recognition	7
recognitions	1
recognize	12
recognized	11
recognizes	2
recognizing	3
recoil	1
recoiled	1
recollect	1
recollected	1
recollection	1
recommend	11
recommendation	5
recommendations	7
recommended	7
recommending	1
recommends	1
recompensed	1
reconciled	1
reconciliation	1
reconciling	1
reconnecting	1
reconsecrate	1
reconsider	1
reconsideration	1
reconstruction	3
record	6
recorded	1
records	1
recourse	3
recover	2
recovered	1
recovering	1
recovery	4
recreation	2
recriminations	1
recruiting	1
rectification	1
rectified	1
rectify	1
rectitude	1
recur	3
recurred	1
recurrence	3
recurring	1
red	2
rededicate	1
redeem	1
redemption	6
rediscover	2
rediscovered	1
redistributed	1
redistribution	2
redounds	1
redress	2
reduce	11
reduced	7
reduces	1
reducing	4
reduction	5
reductions	1
reelected	1
reelection	3
reenforced	1
reestablish	1
reestablished	1
reestablishment	1
refer	5
reference	7
referendum	1
referred	3
referring	1
refinements	2
reflect	9
reflected	3
reflecting	4
reflection	6
reflections	1
reflects	3
reflex	1
reform	13
reformation	3
reformations	1
reformed	2
reformers	1
reforming	2
reforms	5
refrain	2
refresh	1
refreshed	2
refuge	1
refunding	1
refusal	2
refuse	2
refused	3
refuses	1
refusing	3
regain	1
regaining	2
regard	23
regarded	4
regarding	2
regardless	2
regards	2
regime	1
regimes	1
region	3
regional	1
regions	5
registered	4
regret	4
regretted	1
regular	7
regularity	1
regularly	1
regulars	1
regulate	5
regulated	5
regulates	1
regulating	2
regulation	4
regulations	2
rehabilitated	1
rehabilitation	1
rehnquist	1
reign	5
reinforce	1
reins	1
reinstate	1
reinvent	1
reinvention	1
reiterate	3
reject	10
rejected	5
rejecting	2
rejection	1
rejects	1
rejoice	5
rejoices	1
rejoicing	4
rekindle	1
rekindling	1
relate	2
related	2
relates	2
relation	7
relations	26
relationship	3
relationships	3
relative	5
relaxation	1
relaxed	1
relearned	1
released	1
reliable	1
reliance	11
reliant	1
relied	2
relief	12
relies	2
relieve	7
religion	14
religious	14
religiously	1
relinquished	1
reluctance	3
reluctant	1
reluctantly	2
rely	7
relying	7
remain	20
remainder	1
remained	4
remaining	5
remains	15
remake	1
remaking	2
remark	1
remarkable	4
remarkably	1
remarked	1
remarks	3
remedial	1
remedied	3
remedies	8
remediless	1
remedy	9
remember	18
remembered	6
remembering	6
remembrance	3
remind	3
reminded	3
reminds	1
remnant	1
remote	3
remotely	1
remotest	1
removable	1
removal	3
removals	2
remove	8
removed	6
removing	3
remunerating	1
remuneration	1
rend	1
render	7
rendered	5
rendering	1
renders	1
renew	12
renewal	5
renewed	13
renewing	2
renounce	1
renounced	1
renown	1
renunciation	1
reopen	1
reorganization	2
reorganize	1
repair	4
repaired	1
repairers	1
reparation	1
repartition	1
repay	1
repeal	4
repealed	3
repeat	6
repeated	5
repeatedly	1
repeating	1
repel	2
repelled	1
repelling	1
replace	6
replaced	1
replete	1
reply	1
report	3
reports	2
repose	5
reposed	5
reposes	1
represent	3
representation	2
representations	1
representative	7
representatives	14
represented	2
representing	2
represents	1
repressed	1
repression	1
reproach	1
republic	25
republican	15
republicanism	1
republicans	4
republics	10
repudiation	1
repudiator	1
repugnant	3
reputation	3
request	2
require	23
required	18
requirement	3
requirements	3
requires	14
requiring	1
requisite	6
requisites	2
rescind	1
research	3
researches	1
resemble	1
resentment	1
resentments	1
reservation	1
reservations	3
reserve	2
reserved	11
reservoir	1
resheathed	1
residence	1
resident	2
residents	1
residing	1
residue	1
resigned	1
resilience	1
resist	8
resistance	1
resisted	2
resolutely	3
resolution	7
resolve	13
resolved	7
resolves	1
resort	7
resorted	4
resorting	2
resounding	1
resource	7
resources	29
respect	23
respectable	3
respected	7
respectful	2
respectfully	1
respecting	7
respective	11
respectively	3
respects	7
respite	1
respond	3
responded	1
response	2
responses	1
responsibilities	17
responsibility	30
responsible	14
responsibly	3
rest	15
restated	1
restaurant	1
rested	1
resting	5
restless	1
restlessness	1
restoration	7
restore	13
restored	8
restores	1
restoring	4
restrain	3
restrained	3
restraining	1
restrains	1
restraint	6
restraints	5
restrict	1
restricted	1
restricting	1
restriction	2
restrictions	1
restrictive	1
restricts	1
rests	14
result	21
resulted	4
resulting	5
results	14
resume	2
resumed	3
resumes	1
resumption	4
resurgent	1
retain	4
retained	3
retaining	2
retains	1
retaliate	1
retaliation	1
retard	2
retarded	1
retards	1
retire	2
retired	1
retirement	7
retrace	1
retreat	5
retrenchment	1
retrospect	3
return	18
returned	5
returning	3
returns	3
reunion	1
reunite	1
reunited	1
revamp	1
reveal	2
revealed	5
revealing	1
revelation	1
revenge	1
revengeful	1
revenue	16
revenues	8
revered	2
reverence	8
reverend	4
reverent	1
reverently	6
reverse	6
reversion	1
review	4
reviewed	2
revise	1
revised	1
revising	1
revision	2
revisions	1
revitalize	2
revival	2
revive	1
revived	4
reviveùand	1
reviving	1
revocation	1
revolution	21
revolutionary	8
revolutionize	1
reward	8
rewarding	1
rewards	13
rhetoric	1
ribbon	1
rice	2
rich	18
richard	1
richer	3
riches	4
richest	1
rico	1
rid	1
ridding	1
ride	1
riders	1
rides	1
ridge	2
riding	1
right	42
righteous	4
righteousness	6
rightful	7
rightfully	5
rightly	3
rightness	1
rights	47
rigid	6
rigidly	1
rigor	1
rigorous	1
rings	1
rio	1
riper	1
ripped	1
rise	6
risen	3
rises	2
rising	6
risk	6
risks	2
rivalries	1
rivalry	1
rivals	1
river	4
rivers	8
rivet	1
riveted	1
road	9
roadblocks	1
roads	7
roaming	1
rob	1
robbed	1
robbing	1
robe	1
roberts	1
robes	1
robs	1
robust	2
rock	3
rocked	1
rocket	1
rocky	2
rod	1
rode	1
role	7
roll	1
rolling	1
rolls	1
roman	1
rome	1
room	4
roosevelt	2
root	2
rooted	2
rose	1
rough	1
rounded	1
route	3
routes	1
routinely	1
row	1
rude	2
rudest	1
rugged	1
ruggedness	1
ruin	5
ruinous	1
ruins	2
rule	25
ruler	5
rulers	5
rules	15
ruling	1
run	10
runaway	1
runs	1
rural	1
rush	2
russia	1
rusted	1
ruthless	1
ruthlessly	1
s	44
sabbatical	1
sabine	1
sacred	18
sacredly	7
sacredness	2
sacrifice	19
sacrificed	3
sacrifices	8
sacrificing	2
sad	1
safe	17
safeguard	5
safeguarded	1
safeguarding	1
safeguards	5
safely	8
safer	5
safety	25
sagacious	2
sages	2
said	19
sailing	1
sailors	2
saint	2
sake	4
sale	2
salerno	1
sales	1
salutary	5
salute	3
salvation	2
same	39
sanctimonious	1
sanction	9
sanctioned	6
sanctioning	1
sanctions	3
sanctities	1
sanctity	4
sane	1
sanguine	4
sanh	1
sanitary	1
santo	1
sap	2
sapping	1
saps	1
satisfaction	14
satisfactions	2
satisfactorily	1
satisfactory	7
satisfied	4
satisfy	4
satisfying	3
savage	2
savagery	1
savages	1
save	11
saved	5
saving	3
savings	4
savior	1
savor	1
savory	1
saw	8
say	23
saying	2
says	3
scabbard	1
scale	3
scales	1
scan	1
scandinavia	1
scapegoats	1
scar	1
scarcely	11
scattered	4
scene	4
scenes	2
schedules	1
scheme	7
